AdWords API,Google Ads API
AccountDescriptiveName,customer.descriptive_name
AdGroupCount,DEPRECATED
AdGroupCriteriaCount,DEPRECATED
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCpc,metrics.average_cpc
AverageCpm,metrics.average_cpm
AveragePosition,metrics.average_position
CampaignCount,bidding_strategy.campaign_count
Clicks,metrics.clicks
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions_from_interactions_value_per_interaction
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValuez,metrics.conversions_value_per_cost
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
HourOfDay,segments.hour
Id,bidding_strategy.id
Impressions,metrics.impressions
Month,segments.month
MonthOfYear,segments.month_of_year
Name,bidding_strategy.name
NonRemovedAdGroupCount,DEPRECATED
NonRemovedAdGroupCriteriaCount,DEPRECATED
NonRemovedCampaignCount,bidding_strategy.non_removed_campaign_count
PageOnePromotedBidCeiling,bidding_strategy.page_one_promoted.cpc_bid_ceiling_micros
PageOnePromotedBidChangesForRaisesOnly,bidding_strategy.page_one_promoted.only_raise_cpc_bids
PageOnePromotedBidModifier,bidding_strategy.page_one_promoted.bid_modifier
PageOnePromotedRaiseBidWhenBudgetConstrained,bidding_strategy.page_one_promoted.raise_cpc_bid_when_budget_constrained
PageOnePromotedRaiseBidWhenLowQualityScore,bidding_strategy.page_one_promoted.raise_cpc_bid_when_quality_score_is_low
PageOnePromotedStrategyGoal,bidding_strategy.page_one_promoted.strategy_goal
Quarter,segments.quarter
Status,bidding_strategy.status
TargetCpa,bidding_strategy.target_cpa.target_cpa_micros
TargetCpaMaxCpcBidCeiling,bidding_strategy.target_cpa.cpc_bid_ceiling_micros
TargetCpaMaxCpcBidFloor,bidding_strategy.target_cpa.cpc_bid_floor_micros
TargetOutrankShare,bidding_strategy.target_outrank_share.target_outrank_share_micros
TargetOutrankShareBidChangesForRaisesOnly,bidding_strategy.target_outrank_share.only_raise_cpc_bids
TargetOutrankShareCompetitorDomain,bidding_strategy.target_outrank_share.competitor_domain
TargetOutrankShareMaxCpcBidCeiling,bidding_strategy.target_outrank_share.cpc_bid_ceiling_micros
TargetOutrankShareRaiseBidWhenLowQualityScore,bidding_strategy.target_outrank_share.raise_cpc_bid_when_quality_score_is_low
TargetRoas,bidding_strategy.target_roas.target_roas
TargetRoasBidCeiling,bidding_strategy.target_roas.cpc_bid_ceiling_micros
TargetRoasBidFloor,bidding_strategy.target_roas.cpc_bid_floor_micros
TargetSpendBidCeiling,bidding_strategy.target_spend.cpc_bid_ceiling_micros
TargetSpendSpendTarget,bidding_strategy.target_spend.target_spend_micros
Type,bidding_strategy.type
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
