AdWords API,Google Ads API
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCpc,metrics.average_cpc
AverageCpm,metrics.average_cpm
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
CategoryPaths,DEPRECATED
Clicks,metrics.clicks
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CriterionId,segments.webpage
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Domain,DEPRECATED
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
Impressions,metrics.impressions
Line1,dynamic_search_ads_search_term_view.headline
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
Query,dynamic_search_ads_search_term_view.search_term
QueryTargetingStatus,UPCOMING RELEASE
Title,DEPRECATED
Url,dynamic_search_ads_search_term_view.landing_page
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
Week,segments.week
Year,segments.year
