AdWords API,Google Ads API
AccountDescriptiveName,customer.descriptive_name
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCpc,metrics.average_cpc
AverageCpm,metrics.average_cpm
BenchmarkAverageMaxCpc,metrics.benchmark_average_max_cpc
BenchmarkCtr,metrics.benchmark_ctr
BiddingStrategyType,campaign.bidding_strategy_type
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
Clicks,metrics.clicks
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CpcBid,ad_group_criterion.cpc_bid_micros
CriteriaDestinationUrl,DEPRECATED
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
FinalUrlSuffix,DEPRECATED
Id,ad_group_criterion.criterion_id
Impressions,metrics.impressions
IsNegative,ad_group_criterion.negative
Month,segments.month
MonthOfYear,segments.month_of_year
ParentCriterionId,ad_group_criterion.listing_group.parent_ad_group_criterion
PartitionType,ad_group_criterion.listing_group.type
ProductGroup,UPCOMING RELEASE
Quarter,segments.quarter
SearchAbsoluteTopImpressionShare,metrics.search_absolute_top_impression_share
SearchClickShare,metrics.search_click_share
SearchImpressionShare,metrics.search_impression_share
TrackingUrlTemplate,ad_group_criterion.tracking_url_template
UrlCustomParameters,ad_group_criterion.url_custom_parameters
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
