AdWords API,Google Ads API
AccountDescriptiveName,customer.descriptive_name
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AggregatorId,segments.product_aggregator_id
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCpc,metrics.average_cpc
Brand,segments.product_brand
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
CategoryL1,segments.product_bidding_category_level1
CategoryL2,segments.product_bidding_category_level2
CategoryL3,segments.product_bidding_category_level3
CategoryL4,segments.product_bidding_category_level4
CategoryL5,segments.product_bidding_category_level5
Channel,segments.product_channel
ChannelExclusivity,segments.product_channel_exclusivity
Clicks,metrics.clicks
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CountryCriteriaId,segments.product_country
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomAttribute0,segments.product_custom_attribute0
CustomAttribute1,segments.product_custom_attribute1
CustomAttribute2,segments.product_custom_attribute2
CustomAttribute3,segments.product_custom_attribute3
CustomAttribute4,segments.product_custom_attribute4
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
Impressions,metrics.impressions
LanguageCriteriaId,segments.product_language
MerchantId,segments.product_merchant_id
Month,segments.month
OfferId,segments.product_item_id
ProductCondition,segments.product_condition
ProductTitle,segments.product_title
ProductTypeL1,segments.product_type_l1
ProductTypeL2,segments.product_type_l2
ProductTypeL3,segments.product_type_l3
ProductTypeL4,segments.product_type_l4
ProductTypeL5,segments.product_type_l5
Quarter,segments.quarter
SearchAbsoluteTopImpressionShare,metrics.search_absolute_top_impression_share
SearchClickShare,metrics.search_click_share
SearchImpressionShare,metrics.search_impression_share
StoreId,segments.product_store_id
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
Week,segments.week
Year,segments.year
